Habitaciones,Baños,Estrato,Antigüedad,Piso N°,Administración,Precio m²,Parqueaderos,Estado,Tipo de apartamento,Precio,Área construída (m²),Área privada (m²)
1.0,2.0,4.0,1 a 8 años,3,,403225806.0,,,,250000000,62.0,62.0
1.0,2.0,6.0,9 a 15 años,,,642857143.0,2.0,,,675000000,105.0,0.0
1.0,1.0,5.0,,3,167000.0,4700000.0,2.0,,,235000000,50.0,0.0
1.0,1.0,4.0,,,,6187500.0,1.0,Excelente,,198000000,32.0,0.0
2.0,2.0,6.0,menor a 1 año,Otro,180000.0,7421875.0,1.0,Excelente,,475000000,64.0,64.0
4.0,5.0,6.0,1 a 8 años,15,650000.0,61627907.0,2.0,Excelente,,1060000000,172.0,172.0
3.0,2.0,5.0,9 a 15 años,2,,333412717.0,,Bueno,,420000000,12597.0,115.0
2.0,2.0,3.0,9 a 15 años,5,40000.0,481818182.0,1.0,Excelente,Duplex,265000000,55.0,55.0
3.0,3.0,4.0,9 a 15 años,1,244000.0,448709959.0,1.0,Excelente,Duplex,360000000,8023.0,8023.0
2.0,2.0,6.0,1 a 8 años,Otro,,485714286.0,1.0,,,340000000,70.0,0.0
3.0,2.0,5.0,9 a 15 años,2,60000.0,455128205.0,1.0,,,355000000,78.0,0.0
3.0,3.0,6.0,,,,646153846.0,,,,840000000,130.0,130.0
3.0,2.0,5.0,16 a 30 años,4,,369863014.0,1.0,Bueno,,270000000,73.0,0.0
2.0,2.0,4.0,,,230000.0,533333333.0,1.0,,,320000000,60.0,0.0
3.0,3.0,4.0,16 a 30 años,7,311000.0,319767442.0,1.0,,,275000000,86.0,86.0
2.0,2.0,4.0,16 a 30 años,11,,408163265.0,,,,200000000,49.0,0.0
3.0,2.0,5.0,1 a 8 años,Otro,281000.0,679880157.0,1.0,Excelente,,590000000,8678.0,87.0
5.0,5.0,4.0,más de 30 años,Otro,843000.0,218855219.0,1.0,Excelente,,650000000,297.0,297.0
3.0,2.0,5.0,1 a 8 años,Otro,450000.0,5800000.0,2.0,Excelente,PentHouse,638000000,110.0,0.0
3.0,3.0,5.0,9 a 15 años,,320000.0,470238095.0,1.0,,,395000000,84.0,84.0
4.0,5.0,6.0,9 a 15 años,7,900000.0,428015564.0,2.0,Excelente,Duplex,1100000000,257.0,257.0
1.0,1.0,5.0,1 a 8 años,9,65500.0,6000000.0,,Excelente,Loft,180000000,30.0,30.0
3.0,4.0,5.0,más de 30 años,3,607000.0,417021277.0,1.0,Excelente,Duplex,980000000,235.0,235.0
3.0,5.0,6.0,9 a 15 años,Otro,1050000.0,7400000.0,3.0,,,1850000000,250.0,250.0
3.0,2.0,3.0,1 a 8 años,,163000.0,4200000.0,,,,210000000,50.0,0.0
2.0,2.0,4.0,16 a 30 años,Otro,165000.0,490740741.0,1.0,Excelente,,265000000,54.0,0.0
4.0,3.0,4.0,16 a 30 años,4,,346511628.0,1.0,,,298000000,86.0,86.0
3.0,2.0,5.0,1 a 8 años,Otro,218000.0,466666667.0,1.0,Bueno,,350000000,75.0,75.0
2.0,2.0,6.0,,,320000.0,621621622.0,1.0,,,460000000,74.0,0.0
1.0,2.0,4.0,1 a 8 años,3,,403225806.0,,,,250000000,62.0,62.0
1.0,2.0,6.0,9 a 15 años,,,642857143.0,2.0,,,675000000,105.0,0.0
1.0,1.0,5.0,,3,167000.0,4700000.0,2.0,,,235000000,50.0,0.0
1.0,1.0,4.0,,,,6187500.0,1.0,Excelente,,198000000,32.0,0.0
3.0,2.0,5.0,1 a 8 años,Otro,281000.0,679880157.0,1.0,Excelente,,590000000,8678.0,87.0
3.0,2.0,3.0,1 a 8 años,,163000.0,4200000.0,,,,210000000,50.0,0.0
3.0,3.0,4.0,9 a 15 años,1,244000.0,448709959.0,1.0,Excelente,Duplex,360000000,8023.0,8023.0
4.0,3.0,4.0,16 a 30 años,4,,346511628.0,1.0,,,298000000,86.0,86.0
5.0,5.0,4.0,más de 30 años,Otro,843000.0,218855219.0,1.0,Excelente,,650000000,297.0,297.0
2.0,2.0,6.0,1 a 8 años,Otro,,485714286.0,1.0,,,340000000,70.0,0.0
4.0,5.0,6.0,9 a 15 años,7,900000.0,428015564.0,2.0,Excelente,Duplex,1100000000,257.0,257.0
2.0,2.0,4.0,16 a 30 años,11,,408163265.0,,,,200000000,49.0,0.0
2.0,2.0,6.0,menor a 1 año,Otro,180000.0,7421875.0,1.0,Excelente,,475000000,64.0,64.0
3.0,3.0,6.0,,,,646153846.0,,,,840000000,130.0,130.0
3.0,2.0,5.0,9 a 15 años,2,60000.0,455128205.0,1.0,,,355000000,78.0,0.0
3.0,2.0,5.0,16 a 30 años,4,,369863014.0,1.0,Bueno,,270000000,73.0,0.0
3.0,4.0,5.0,más de 30 años,3,607000.0,417021277.0,1.0,Excelente,Duplex,980000000,235.0,235.0
4.0,5.0,6.0,1 a 8 años,15,650000.0,61627907.0,2.0,Excelente,,1060000000,172.0,172.0
3.0,3.0,5.0,9 a 15 años,,320000.0,470238095.0,1.0,,,395000000,84.0,84.0
3.0,5.0,6.0,9 a 15 años,Otro,1050000.0,7400000.0,3.0,,,1850000000,250.0,250.0
3.0,2.0,5.0,1 a 8 años,Otro,218000.0,466666667.0,1.0,Bueno,,350000000,75.0,75.0
3.0,3.0,4.0,16 a 30 años,7,311000.0,319767442.0,1.0,,,275000000,86.0,86.0
3.0,2.0,5.0,9 a 15 años,2,,333412717.0,,Bueno,,420000000,12597.0,115.0
2.0,2.0,4.0,,,230000.0,533333333.0,1.0,,,320000000,60.0,0.0
1.0,1.0,5.0,1 a 8 años,9,65500.0,6000000.0,,Excelente,Loft,180000000,30.0,30.0
2.0,2.0,4.0,16 a 30 años,Otro,165000.0,490740741.0,1.0,Excelente,,265000000,54.0,0.0
3.0,2.0,5.0,1 a 8 años,Otro,450000.0,5800000.0,2.0,Excelente,PentHouse,638000000,110.0,0.0
2.0,2.0,6.0,,,320000.0,621621622.0,1.0,,,460000000,74.0,0.0
2.0,2.0,3.0,9 a 15 años,5,40000.0,481818182.0,1.0,Excelente,Duplex,265000000,55.0,55.0
1.0,2.0,4.0,1 a 8 años,3,,403225806.0,,,,250000000,62.0,62.0
1.0,2.0,6.0,9 a 15 años,,,642857143.0,2.0,,,675000000,105.0,0.0
1.0,1.0,5.0,,3,167000.0,4700000.0,2.0,,,235000000,50.0,0.0
1.0,1.0,4.0,,,,6187500.0,1.0,Excelente,,198000000,32.0,0.0
3.0,4.0,6.0,1 a 8 años,10,546167.0,644827586.0,2.0,,,935000000,145.0,0.0
3.0,2.0,4.0,9 a 15 años,,230652.0,536363636.0,1.0,,,295000000,55.0,0.0
4.0,5.0,6.0,9 a 15 años,1,550000.0,414883721.0,2.0,,,892000000,215.0,215.0
2.0,2.0,6.0,1 a 8 años,Otro,,485714286.0,1.0,,,340000000,70.0,0.0
3.0,2.0,5.0,16 a 30 años,4,310000.0,479452055.0,2.0,,,350000000,73.0,73.0
3.0,3.0,6.0,,2,360000.0,5000000.0,1.0,,,465000000,93.0,0.0
3.0,2.0,5.0,16 a 30 años,5,250000.0,430232558.0,1.0,,,370000000,86.0,0.0
3.0,2.0,5.0,,8,390000.0,569892473.0,1.0,,,530000000,93.0,93.0
3.0,2.0,6.0,16 a 30 años,14,418000.0,519607843.0,1.0,Bueno,,530000000,102.0,102.0
3.0,2.0,4.0,,,280000.0,554794521.0,1.0,,,405000000,73.0,0.0
3.0,2.0,4.0,,,1.0,3593750.0,1.0,,Loft,230000000,64.0,0.0
4.0,3.0,4.0,,,,375324675.0,1.0,Excelente,,289000000,77.0,0.0
3.0,4.0,5.0,9 a 15 años,Otro,700000.0,558139535.0,2.0,Excelente,PentHouse,1200000000,215.0,0.0
3.0,2.0,6.0,9 a 15 años,4,530000.0,631578947.0,2.0,,,600000000,95.0,0.0
2.0,2.0,3.0,9 a 15 años,,190000.0,567307692.0,,,,295000000,52.0,52.0
3.0,2.0,5.0,16 a 30 años,3,368000.0,466666667.0,1.0,,,420000000,90.0,0.0
3.0,1.0,3.0,1 a 8 años,11,217840.0,373846154.0,,Bueno,,243000000,65.0,65.0
2.0,2.0,4.0,menor a 1 año,12,,6400000.0,1.0,Excelente,,320000000,50.0,0.0
3.0,4.0,6.0,más de 30 años,6,1000000.0,457943925.0,3.0,Excelente,,980000000,214.0,214.0
1.0,2.0,4.0,1 a 8 años,3,,403225806.0,,,,250000000,62.0,62.0
1.0,2.0,6.0,9 a 15 años,,,642857143.0,2.0,,,675000000,105.0,0.0
1.0,1.0,5.0,,3,167000.0,4700000.0,2.0,,,235000000,50.0,0.0
1.0,1.0,4.0,,,,6187500.0,1.0,Excelente,,198000000,32.0,0.0
2.0,1.0,3.0,1 a 8 años,Otro,60000.0,3250000.0,,Excelente,,130000000,40.0,40.0
3.0,3.0,5.0,1 a 8 años,4,220000.0,4687500.0,1.0,Excelente,,450000000,96.0,96.0
3.0,2.0,5.0,9 a 15 años,6,363000.0,480898876.0,2.0,Excelente,,428000000,89.0,89.0
3.0,3.0,6.0,16 a 30 años,Otro,330000.0,558441558.0,1.0,Excelente,,430000000,77.0,0.0
3.0,2.0,5.0,9 a 15 años,Otro,267000.0,583333333.0,1.0,Excelente,,420000000,72.0,72.0
2.0,2.0,6.0,1 a 8 años,Otro,,485714286.0,1.0,,,340000000,70.0,0.0
3.0,4.0,5.0,menor a 1 año,9,300000.0,666666667.0,2.0,Excelente,,1100000000,165.0,165.0
2.0,1.0,4.0,9 a 15 años,Otro,103000.0,444444444.0,,,,200000000,45.0,45.0
